outcome,characteristic,n_stocks,pearson_r,pearson_p,spearman_r,spearman_p,spearman_p_bonferroni
MAE,mean_spread,200,0.6612798117910524,1.6144542948419763e-26,0.7066466661666543,1.430987513270756e-31,2.146481269906134e-30
MAE,mean_matched_size,200,-0.2790804330181371,6.284696286604768e-05,-0.6573164329108229,4.055534211072498e-26,6.083301316608747e-25
MAE,mean_realized_vol,200,0.757586939495359,1.5482442459157545e-38,0.7810170254256359,2.375662728933698e-42,3.563494093400547e-41
MAE,mean_abs_imbalance_ratio,200,0.598119395417725,8.617403235242447e-21,0.6646486162154055,7.298095500895138e-27,1.0947143251342707e-25
MAE,n_obs,200,-0.12604781135956056,0.07531977472366934,-0.18748508210457998,0.007850435726899134,0.117756535903487
corr,mean_spread,200,0.4107470733042929,1.5300642717814091e-09,0.3573239330983275,2.0565183498421253e-07,3.084777524763188e-06
corr,mean_matched_size,200,-0.08563044580460427,0.22796306812977293,0.05228380709517739,0.46217315403679315,1.0
corr,mean_realized_vol,200,0.30768185723256486,9.336522575453625e-06,0.24612015300382514,0.0004430060715928479,0.006645091073892718
corr,mean_abs_imbalance_ratio,200,-0.2231260966399025,0.0014940595605298312,-0.2503172579314483,0.00035034208269142566,0.005255131240371385
corr,n_obs,200,0.09876971545418381,0.16408473129031362,0.2324442177905569,0.0009258612602674633,0.01388791890401195
MAE_reduction_vs_zero_pct,mean_spread,200,0.43533796537754865,1.1774048389487953e-10,0.35309682742068554,2.922184404221361e-07,4.383276606332041e-06
MAE_reduction_vs_zero_pct,mean_matched_size,200,-0.1081784839654372,0.12731807932124542,0.062026550663766604,0.3829192322272894,1.0
MAE_reduction_vs_zero_pct,mean_realized_vol,200,0.3435543888338932,6.339634637053783e-07,0.25254031350783773,0.00030888978358660214,0.004633346753799032
MAE_reduction_vs_zero_pct,mean_abs_imbalance_ratio,200,-0.23923771938140925,0.0006453412856936616,-0.28791419785494643,3.563814682435374e-05,0.0005345722023653061
MAE_reduction_vs_zero_pct,n_obs,200,0.11849379211998476,0.09469318465759392,0.2380747880918113,0.0006869733690371884,0.010304600535557826
