split,sample_basis,lag,lag_seconds,pearson_r,pearson_p,spearman_r,spearman_p,n
train,available,0,0,0.011925910140091412,1.0679766377086439e-114,0.021942477285091543,0.0,3642870
train,available,1,10,0.007656234489645785,1.6286568165705376e-47,0.013260755140138194,8.256326496702373e-139,3576636
train,available,2,20,0.0072548508382804956,4.4117795327840526e-42,0.01210720199665249,6.306729639118529e-114,3510402
train,available,3,30,0.007458512557259635,1.4210454921821407e-43,0.01179434051899552,3.2891992723069175e-106,3444168
train,available,4,40,0.007644514474597835,7.684608872091576e-45,0.011578793943510272,1.682782081720391e-100,3377934
train,available,5,50,0.0075713689953032124,3.4272500584744503e-43,0.01115341297135379,1.3477253147630135e-91,3311700
train,available,6,60,0.008044264491657904,1.358957517868e-47,0.010822804460373417,1.1407682377648845e-84,3245466
train,available,8,80,0.00806003450718455,6.777874212674511e-46,0.00862980815925093,2.360897986544805e-52,3112998
train,available,10,100,0.007323873813859721,1.2036007758307596e-36,0.006061231387317272,1.2596475057355941e-25,2980530
train,available,12,120,0.005315051380461763,2.969250288976682e-19,0.003628768526303992,9.125455010277286e-10,2848062
train,available,15,150,0.0005219934409103911,0.3955248222216902,-0.0016805814628670702,0.006229340758487874,2649360
train,available,20,200,-0.005076450175826874,1.0818428581506641e-14,-0.010140225627130406,8.879414743875981e-54,2318190
train,available,25,250,-0.008734319195552932,7.780205943609492e-35,-0.015368982469436463,4.328145423101144e-104,1987020
train,available,30,300,-0.014388904278022047,1.5182602686749676e-76,-0.0230624277463524,1.3660701199754975e-193,1655850
train,common,0,0,0.04114554888837336,0.0,0.03394391938297032,0.0,1655850
train,common,1,10,0.02263017355289067,1.7743542135575245e-186,0.02008423607361885,2.633047561268969e-147,1655850
train,common,2,20,0.017489565742726573,3.524769771267619e-112,0.016402770599116247,6.650149239061739e-99,1655850
train,common,3,30,0.01690698176833031,5.876949349528814e-105,0.015835203883095308,2.622758781182509e-92,1655850
train,common,4,40,0.015523785490618735,8.701868081741682e-89,0.014986371682719582,7.108999225927834e-83,1655850
train,common,5,50,0.014022357264743351,8.664682662992108e-73,0.013727903893385745,7.68286050398037e-70,1655850
train,common,6,60,0.013228293297269041,5.557085166308357e-65,0.012618294928697244,2.723671908898738e-59,1655850
train,common,8,80,0.011118486101033866,1.9593876243920956e-46,0.008095185685782933,2.073169449525383e-25,1655850
train,common,10,100,0.008002032751894858,7.257251388219963e-25,0.0032344356471661613,3.153698255156884e-05,1655850
train,common,12,120,0.00335639547594227,1.5672849962540127e-05,-0.0005545382126779161,0.4754879336706004,1655850
train,common,15,150,-0.0025063571085320634,0.0012589400331534494,-0.005210575856645593,2.0140515789862822e-11,1655850
train,common,20,200,-0.010479487237021115,1.907659068767696e-41,-0.013310932044547308,8.983383940586768e-66,1655850
train,common,25,250,-0.009837060654166913,1.0025863337737775e-36,-0.0174637341306295,7.4562189140139335e-112,1655850
train,common,30,300,-0.014388904278022047,1.5182602686749676e-76,-0.0230624277463524,1.3660701199754975e-193,1655850
val,available,0,0,0.014043820215997397,7.619418340976336e-36,0.029745890874626008,1.7807213289491744e-154,791945
val,available,1,10,0.007974220471873473,2.0409947217316503e-12,0.02105150709797403,6.175036220036268e-77,777546
val,available,2,20,0.005097330276852841,8.469376603788958e-06,0.0226412588733445,4.295571902274046e-87,763147
val,available,3,30,0.0049349635871388685,1.9525046482062018e-05,0.024437019939360042,2.846683575068981e-99,748748
val,available,4,40,0.006476480895816317,2.856450730404614e-08,0.02561032228092783,8.638363262515077e-107,734349
val,available,5,50,0.008130385389907208,5.247197743230406e-12,0.026129306838578326,6.063958195428011e-109,719950
val,available,6,60,0.009866978416200468,1.150127058210032e-16,0.02655074037611844,3.250177130396711e-110,705551
val,available,8,80,0.012377929558557465,2.3598446187671287e-24,0.024488828982168278,2.761682982737095e-90,676753
val,available,10,100,0.013592064698746196,7.297797075554394e-28,0.02235805049730941,1.9667957087802293e-72,647955
val,available,12,120,0.01154251742345971,1.0592335713317897e-19,0.019553829115386025,1.9803721097786059e-53,619157
val,available,15,150,0.008064988520463754,9.312445189076868e-10,0.014138838559535367,7.29898493739189e-27,575960
val,available,20,200,0.0046101624355682725,0.0010649296666279593,0.004487749986310535,0.0014431247316683438,503965
val,available,25,250,-0.011441763425257948,5.4668438212811586e-14,-0.01320865160287286,3.9002071069484574e-18,431970
val,available,30,300,-0.02610014875823513,2.7442104100341366e-55,-0.03576830468254265,3.166052169745668e-102,359975
val,common,0,0,0.02208949082922195,4.232132398142017e-40,0.010179001212947951,1.0131438425738819e-09,359975
val,common,1,10,0.001971194099071268,0.23693899310464656,-0.005079165422904575,0.0023082838961839144,359975
val,common,2,20,-0.000599011134118916,0.7193011217484625,-0.004519516580242057,0.006695525638486903,359975
val,common,3,30,-0.0054949844211209945,0.0009776191693999835,-0.0010561026861596937,0.5263173660388523,359975
val,common,4,40,-0.0052348111202616945,0.0016849382344171226,2.789307370192538e-05,0.9866478615638633,359975
val,common,5,50,-0.004529013109255835,0.006581333877287984,0.0001220898805851118,0.9416062792396866,359975
val,common,6,60,-0.00479668687924742,0.004003082204428643,-0.000302054667686688,0.8561902796386605,359975
val,common,8,80,-0.00863710314426455,2.1933023455279667e-07,-0.005628721475536061,0.0007324625267426122,359975
val,common,10,100,-0.012220924775917814,2.25816555293607e-13,-0.009960156680882798,2.286634041520253e-09,359975
val,common,12,120,-0.014962774283126978,2.7617390909765016e-19,-0.01263784214529969,3.3838866235561603e-14,359975
val,common,15,150,-0.016929505563363825,3.0513879886792214e-24,-0.014297712052442626,9.591965972442584e-18,359975
val,common,20,200,-0.020185059228513373,9.145708128014976e-34,-0.021894879669066832,1.994261976112723e-39,359975
val,common,25,250,-0.022367870730692328,4.5009291444744007e-41,-0.03076877399158513,3.955302360940266e-76,359975
val,common,30,300,-0.02610014875823513,2.7442104100341366e-55,-0.03576830468254265,3.166052169745668e-102,359975
