signal,split,sample_basis,r_col,n_lags_total,n_lags_used,n_lags_dropped,n_sign_changes,r0_fit,slope,intercept,r2,rank_corr,tau_steps,half_life_steps,half_life_seconds,status
auction_imbalance_ratio,train,available,pearson_r,14,13,1,1,0.007497928565306695,0.005280657004494194,-4.893128487880152,0.03369053184535031,0.010989010989010988,,,,no_decay
auction_imbalance_ratio,train,available,spearman_r,14,14,0,1,0.009901569040086397,-0.0019024153915679965,-4.6150620455020155,0.0006640745254353764,-0.26593406593406593,,,,poor_exponential_fit
auction_imbalance_ratio,train,common,pearson_r,14,14,0,1,0.016257905320202843,-0.0328294868765848,-4.119176007256775,0.18416712419731762,-0.7758241758241758,,,,poor_exponential_fit
auction_imbalance_ratio,train,common,spearman_r,14,13,1,1,0.013725620097896633,-0.004663974151519367,-4.288491112432518,0.005275694366651762,-0.32967032967032966,,,,poor_exponential_fit
auction_imbalance_ratio,val,available,pearson_r,14,14,0,1,0.007368054068046069,0.02214703543802203,-4.9106016418304765,0.18452938000524355,0.2527472527472528,,,,no_decay
auction_imbalance_ratio,val,available,spearman_r,14,14,0,1,0.024778578470982665,-0.019945251290072404,-3.6977757704079606,0.1343194275731484,-0.3450549450549451,,,,poor_exponential_fit
auction_imbalance_ratio,val,common,pearson_r,14,12,2,1,0.006436394954784983,0.04896684359869921,-5.045786685236248,0.4630435300310146,0.6223776223776225,,,,no_decay
auction_imbalance_ratio,val,common,spearman_r,14,10,4,3,0.005343470274482272,0.06510741016786033,-5.231879972945034,0.8388166225687181,0.8666666666666665,,,,no_decay
liquidity_imbalance,train,available,pearson_r,14,11,3,0,0.011470023495736866,-0.05701137885569582,-4.468018299391616,0.21998498604984484,-0.7636363636363637,,,,poor_exponential_fit
liquidity_imbalance,train,available,spearman_r,14,12,2,2,0.012749073411655312,-0.06422766602780595,-4.362296683614217,0.2617844824751001,-0.8181818181818183,,,,poor_exponential_fit
liquidity_imbalance,train,common,pearson_r,14,12,2,2,0.010012962036399313,-0.05134952737229385,-4.603874821694867,0.2221085158682976,-0.6153846153846154,,,,poor_exponential_fit
liquidity_imbalance,train,common,spearman_r,14,12,2,2,0.010404822313199193,-0.04919732620058389,-4.565485896341538,0.18145565349007686,-0.6153846153846154,,,,poor_exponential_fit
liquidity_imbalance,val,available,pearson_r,14,11,3,0,0.01714617988922245,-0.08180067060466394,-4.065979877166096,0.48728712754727643,-0.9727272727272729,,,,poor_exponential_fit
liquidity_imbalance,val,available,spearman_r,14,9,5,0,0.04603906208343185,-0.30888498673956927,-3.0782650671119867,0.8469587564676214,-1.0,3.2374509701992467,2.2440300121946675,22.440300121946674,ok
liquidity_imbalance,val,common,pearson_r,14,12,2,0,0.02166601085740126,-0.08409852226733641,-3.8320105663326403,0.6369836068781516,-0.9860139860139862,,,,poor_exponential_fit
liquidity_imbalance,val,common,spearman_r,14,11,3,0,0.03376269749636809,-0.1758268813715376,-3.3883987103027824,0.776356166946745,-0.9818181818181818,,,,poor_exponential_fit
