split,sample_basis,lag,lag_seconds,pearson_r,pearson_p,spearman_r,spearman_p,n
train,available,0,0,-0.12112057392424404,0.0,-0.13530508395932747,0.0,3642948
train,available,1,10,-0.02682604459001697,0.0,-0.02945941457428541,0.0,3576714
train,available,2,20,-0.01401405686499796,5.73143076371106e-152,-0.015420579592740931,1.4151099725101928e-183,3510479
train,available,3,30,-0.008377344558066548,1.6541743151476874e-54,-0.00942535332582067,1.6317409796241295e-68,3444244
train,available,4,40,-0.005130499263212119,4.1170203922068496e-21,-0.0061654911592513625,9.122318523012772e-30,3378009
train,available,5,50,-0.00381715859258093,3.742084443296674e-12,-0.005187547350668,3.7099079304214484e-21,3311774
train,available,6,60,-0.002655775054135564,1.7142531579815463e-06,-0.003945524995593777,1.177041959313854e-12,3245539
train,available,8,80,-0.0013741033395462988,0.015331460712626341,-0.0024576213868454993,1.4496358006624258e-05,3113069
train,available,10,100,-0.0010308715664580402,0.07511871650216334,-0.0015130598280786545,0.008995920625843703,2980599
train,available,12,120,-0.00042050846429886074,0.4779108757835917,-0.000784292539849557,0.1856348824191656,2848129
train,available,15,150,-7.09560663927961e-05,0.9080523877715552,6.696482471898713e-05,0.913203332970276,2649424
train,available,20,200,-0.002255839954490699,0.0005932130359644525,-0.0020186636241696495,0.002115085531682897,2318249
train,available,25,250,-0.0039834930552927,1.9622779791785695e-08,-0.004530917419703602,1.6920080292221452e-10,1987074
train,available,30,300,-0.004909848244682461,2.647790912992463e-10,-0.004900799965097737,2.854754548421628e-10,1655899
train,common,0,0,-0.10526045717644786,0.0,-0.1172486243262449,0.0,1655899
train,common,1,10,-0.02112003324376003,1.1003476253655262e-162,-0.02304218286743659,2.924046575344463e-193,1655899
train,common,2,20,-0.009639255434592658,2.4785228543756673e-35,-0.010037267871589421,3.635474643669197e-38,1655899
train,common,3,30,-0.0052930961453279465,9.672691870312118e-12,-0.005619107206832165,4.800987005589434e-13,1655899
train,common,4,40,-0.003735777593056964,1.530001446168593e-06,-0.004283775559051981,3.538566083020364e-08,1655899
train,common,5,50,-0.00400255634957218,2.5968786171753213e-07,-0.0048217125237511715,5.480311268743923e-10,1655899
train,common,6,60,-0.003994703220838754,2.7405177792038376e-07,-0.004665001635891814,1.936647995572606e-09,1655899
train,common,8,80,-0.0038776846049990796,6.041462928296174e-07,-0.004772032119647666,8.212539152035172e-10,1655899
train,common,10,100,-0.0029797957055439444,0.000125841187337305,-0.002989842099778045,0.00011938455096507552,1655899
train,common,12,120,-0.0014311977572955578,0.0655205490332871,-0.0017047838619437257,0.028253713644413366,1655899
train,common,15,150,0.0002309569204005439,0.7663144619506189,0.0003125583774761756,0.6875329697452224,1655899
train,common,20,200,-0.0016603730738162807,0.03263079946561132,-0.0012628335008741675,0.10415498777278326,1655899
train,common,25,250,-0.004565716434498288,4.221559967752618e-09,-0.004999477059275631,1.2474015451011928e-10,1655899
train,common,30,300,-0.004909848244682461,2.647790912992463e-10,-0.004900799965097737,2.854754548421628e-10,1655899
val,available,0,0,-0.09745868384880284,0.0,-0.11355906156790413,0.0,791945
val,available,1,10,-0.027908961625460638,8.84081734535698e-134,-0.032213892206895335,1.3940508097666528e-177,777546
val,available,2,20,-0.01581928458555232,1.9227274672324876e-43,-0.017768235695692292,2.4159368792555842e-54,763147
val,available,3,30,-0.011211792603048176,2.9599889009374768e-22,-0.012150792208383587,7.40895445897584e-26,748748
val,available,4,40,-0.009477448996396083,4.593599836224443e-16,-0.010367747962757034,6.404811073403877e-19,734349
val,available,5,50,-0.007060454306992199,2.0874662228333696e-09,-0.007396299081856072,3.4778541070418787e-10,719950
val,available,6,60,-0.005505580302188234,3.754057804220402e-06,-0.005871812545133118,8.1314825745112e-07,705551
val,available,8,80,-0.005170551656497593,2.1038459580356197e-05,-0.00550387879446654,5.960327977557636e-06,676753
val,available,10,100,-0.003070839797486296,0.013439951916313956,-0.0027845152825367427,0.024999286416021237,647955
val,available,12,120,-0.0022317305609265933,0.07907646058170849,-0.002102357593720109,0.09807251808137624,619157
val,available,15,150,-0.0004528650271604758,0.7310811416192553,-0.0008122641578167183,0.5376025038144027,575960
val,available,20,200,-0.0028032717759301543,0.04658483216177789,-0.0025803333896690425,0.06698273119269005,503965
val,available,25,250,-0.0026979948815554584,0.0761889946216995,-0.0022482117547280808,0.13950902721851655,431970
val,available,30,300,-0.0032798347363672715,0.0490874895401789,-0.0031145884053937582,0.06166648538244344,359975
val,common,0,0,-0.09043460581681159,0.0,-0.10457101580035351,0.0,359975
val,common,1,10,-0.027794585810256994,1.8526485653123476e-62,-0.030411104187414065,2.0620480372050124e-74,359975
val,common,2,20,-0.017184623304392885,6.275151551836024e-25,-0.017823578888253765,1.0789774207217675e-26,359975
val,common,3,30,-0.013723744451636447,1.8058055501045297e-16,-0.01327629405386928,1.641274489823132e-15,359975
val,common,4,40,-0.013862632008305321,8.971607314231124e-17,-0.013144167504169446,3.106801745662378e-15,359975
val,common,5,50,-0.011427808080319643,7.049562311760445e-12,-0.0103412715478907,5.480418818044856e-10,359975
val,common,6,60,-0.00848073266013679,3.612175622408697e-07,-0.007851195837870214,2.4697624822484035e-06,359975
val,common,8,80,-0.0075232544601152255,6.3663012027218206e-06,-0.00788194904643279,2.2555922790206038e-06,359975
val,common,10,100,-0.005424127203594714,0.0011364177787108513,-0.005258644600770461,0.0016044966929346849,359975
val,common,12,120,-0.00558959287008307,0.0007975207222543773,-0.005357036883950451,0.0013084387399298542,359975
val,common,15,150,-0.0030607393941147728,0.06630180142937461,-0.0033251847311902413,0.04603850106440884,359975
val,common,20,200,-0.0036758203796265175,0.02742495568179032,-0.0023963890160402976,0.15049632812671304,359975
val,common,25,250,-0.0016007005829927205,0.33686184604919706,-0.0007670487021555994,0.6453642662500528,359975
val,common,30,300,-0.0032798347363672715,0.0490874895401789,-0.0031145884053937582,0.06166648538244344,359975
