feature,gain_importance
market_urgency,437431.2708079815
seconds_in_bucket,117300.08910608292
ref_mid_dist,84883.40525436401
matched_size,73800.57412075996
market_urgency_cs_rank,67374.08365821838
auction_imbalance_ratio_cs_z,58753.104981422424
auction_imbalance_ratio_cs_rank,44889.355095386505
imbalance_size,42102.419140815735
bid_size,39397.39823293686
ask_size,38350.452432632446
market_urgency_cs_z,36220.47775888443
auction_imbalance_ratio,32310.81889295578
near_price,30122.31916832924
ask_price,27356.90809726715
bid_price,27180.53384399414
far_near_dist,25781.250886440277
matched_size_ratio,25276.58052110672
far_price,24923.65176510811
wap,24555.970160722733
liquidity_imbalance,21283.452322006226
reference_price,17999.78976249695
liquidity_imbalance_cs_z,8594.696667194366
imbalance_buy_sell_flag,5583.487046718597
liquidity_imbalance_cs_rank,4923.755348205566
is_late_auction,8.471070289611816
