feature,importance_mean,importance_std,pct_of_baseline_MAE,perm_rank,gain_importance,gain_rank
market_urgency,0.11048655779237633,0.0020630297332483445,1.7405352648339496,1,437431.2708079815,1
ref_mid_dist,0.05773361584052754,0.0010585295592308917,0.9094988236093624,2,84883.40525436401,3
seconds_in_bucket,0.04556539394932883,0.0010560218631748355,0.7178083615736524,3,117300.08910608292,2
auction_imbalance_ratio,0.020053509864055387,0.0006085969028738266,0.31591029532908715,4,32310.81889295578,12
auction_imbalance_ratio_cs_z,0.01906602965689288,0.0005003897276420139,0.3003541574763567,5,58753.104981422424,6
matched_size,0.01651398143333731,0.0006523511299131316,0.26015080587043127,6,73800.57412075996,4
near_price,0.013507845315303335,0.0007776146814477618,0.21279404113022143,7,30122.31916832924,13
wap,0.010178625453357704,0.0005739648120115197,0.16034761968417455,8,24555.970160722733,19
ask_size,0.00874163073491463,0.0006934126184558856,0.13771011487992146,9,38350.452432632446,10
bid_size,0.008439371059193235,0.0007440860570087785,0.13294850735732144,10,39397.39823293686,9
market_urgency_cs_rank,0.006306253070138279,0.0004358734659987475,0.09934471737430134,11,67374.08365821838,5
imbalance_size,0.005470551977904048,0.00044160405461422564,0.08617961158263285,12,42102.419140815735,8
auction_imbalance_ratio_cs_rank,0.005373376401501239,0.0004246784047117916,0.08464876908930898,13,44889.355095386505,7
bid_price,0.005286860614823219,0.00039940174594238866,0.08328585417289969,14,27180.53384399414,15
far_price,0.004599627711707743,0.0005958395823708458,0.07245962221376417,15,24923.65176510811,18
ask_price,0.003941992034164432,0.0004626141180887124,0.06209964620357768,16,27356.90809726715,14
far_near_dist,0.003614586208473636,0.0002828492508109232,0.056941902158390054,17,25781.250886440277,16
market_urgency_cs_z,0.0034853746852754773,0.00030553158082278234,0.05490638564630968,18,36220.47775888443,11
imbalance_buy_sell_flag,0.0030011621459019367,0.0003320330146831302,0.047278407933055246,19,5583.487046718597,23
matched_size_ratio,0.0029213486602085227,0.00029712840016456714,0.046021076822063814,20,25276.58052110672,17
reference_price,0.0014380955527351525,0.00031832853119405363,0.022654846650577043,21,17999.78976249695,21
liquidity_imbalance,0.001265929769053553,0.00020602416315934337,0.019942655920020372,22,21283.452322006226,20
liquidity_imbalance_cs_z,0.0006510393888506272,0.00016840953330086452,0.010256062255282316,23,8594.696667194366,22
liquidity_imbalance_cs_rank,0.0005335389340602959,7.292682050875053e-05,0.008405034498757255,24,4923.755348205566,24
is_late_auction,8.306434973626153e-07,2.5176269149958006e-06,1.3085431644829439e-05,25,8.471070289611816,25
